[Wed Nov 26 13:09:03.558565 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.558565 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.073245 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.073245 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.073245 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.073245 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.086414 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.086414 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.086414 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.086414 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
